Source,Target,Weight
7912,7959,32
7912,7951,90
7912,8245,16
7912,8002,20
7912,7940,17
7912,8848,7
7912,7980,102
7912,8056,13
7912,8703,10
7912,8140,119
7912,8073,80
7912,8005,125
7912,8280,24
7912,8084,133
7912,7914,27
7912,7964,114
7912,8243,183
7912,8300,38
7912,8028,170
7912,8167,172
7912,8111,17
7912,7944,86
7912,8131,161
7912,7967,54
7912,7955,115
7912,8086,84
7912,8020,27
7912,7962,12
7912,8091,136
7912,7938,37
7912,8093,72
7912,7920,96
7912,7985,27
7912,8321,20
7912,8460,37
7912,8474,23
7912,8031,61
7912,8738,6
7912,8184,29
7912,8114,24
7912,8305,17
7912,7975,21
7912,8174,133
7912,8124,190
7912,8198,33
7912,7990,10
7912,8045,132
7912,8647,143
7912,7929,93
7912,8109,12
7912,7922,135
7912,8428,117
7912,8136,23
7912,8023,12
7912,8188,161
7912,7983,191
7912,9066,12
7912,7953,185
7912,7957,25
7912,10167,7
7912,7906,18
7912,7910,12
7912,7908,124
7914,8016,51
7914,7929,66
7914,8005,54
7914,8300,92
7914,8047,63
7914,8428,38
7914,8124,51
7914,7922,57
7914,8474,135
7914,7988,47
7914,8848,37
7914,7955,38
7914,7951,48
7914,7936,45
7914,8647,52
7914,7983,49
7914,8140,52
7914,8119,59
7914,9647,35
7914,7942,90
7914,7973,96
7914,8033,63
7914,8198,94
7914,8018,55
7914,7992,75
7914,7967,59
7914,7957,69
7914,10937,3
7914,8136,64
7914,7953,65
7914,8305,59
7914,8413,33
7914,7940,68
7914,7985,69
7914,7920,42
7914,8023,68
7914,8174,44
7914,7970,58
7914,7938,71
7914,8111,38
7914,8188,46
7914,7916,74
7914,8028,55
7914,7980,49
7914,8460,68
7914,8002,40
7914,8904,51
7914,7946,74
7914,8272,57
7914,8780,45
7914,8086,76
7914,8045,31
7914,8186,63
7914,8084,67
7914,8091,55
7914,8280,33
7914,7944,31
7914,8011,82
7914,8163,39
7914,7994,65
7914,7918,70
7914,8109,31
7914,8211,68
7914,16996,1
7914,8073,31
7914,8287,89
7914,8321,40
7914,7990,53
7914,8495,37
7914,7978,53
7914,8114,59
7914,7934,69
7914,7959,51
7914,8008,54
7914,7949,57
7914,8184,65
7914,9066,67
7914,8131,54
7914,7998,46
7914,8121,64
7914,10167,40
7914,8000,82
7914,8031,44
7914,7962,64
7914,8219,52
7914,7926,66
7914,7975,84
7914,7964,60
7914,8167,45
7914,7924,46
7914,8020,78
7914,8738,33
7914,10112,32
7914,8703,39
7914,7931,55
7914,8149,84
7914,8243,74
7914,8093,64
7914,8245,67
7914,8056,50
7914,7910,37
7914,7908,56
7914,7912,27
7914,7906,72
7916,7994,69
7916,7988,59
7916,8243,96
7916,8119,71
7916,7920,52
7916,8140,62
7916,8114,68
7916,7975,111
7916,7942,68
7916,7929,88
7916,7967,83
7916,8131,54
7916,8305,69
7916,7922,57
7916,8149,106
7916,7926,72
7916,8167,52
7916,8272,70
7916,8904,54
7916,8073,47
7916,8091,67
7916,8109,37
7916,8495,44
7916,8413,41
7916,8219,60
7916,8020,72
7916,8086,86
7916,7918,78
7916,8047,72
7916,8211,82
7916,8184,72
7916,7998,49
7916,7951,56
7916,8016,59
7916,7946,84
7916,8474,77
7916,10937,4
7916,8163,53
7916,8245,68
7916,10112,42
7916,7959,76
7916,7983,64
7916,8111,49
7916,8738,38
7916,8780,48
7916,7936,56
7916,8174,46
7916,8008,65
7916,7955,53
7916,8703,41
7916,8287,95
7916,8121,74
7916,7990,53
7916,7978,55
7916,8647,70
7916,7964,77
7916,7949,87
7916,10167,40
7916,8188,58
7916,7940,75
7916,7980,55
7916,9066,77
7916,8084,80
7916,8018,73
7916,8124,73
7916,8300,106
7916,7962,52
7916,8005,66
7916,8056,54
7916,7931,66
7916,8033,84
7916,8186,78
7916,8280,49
7916,8848,39
7916,7985,90
7916,8321,46
7916,7973,92
7916,8428,48
7916,7970,50
7916,8136,79
7916,7957,84
7916,8031,59
7916,7992,85
7916,7924,52
7916,8045,36
7916,7934,68
7916,7953,91
7916,7938,89
7916,8023,64
7916,8002,49
7916,8198,107
7916,8000,82
7916,8460,80
7916,9647,43
7916,8093,82
7916,8011,105
7916,8028,66
7916,7944,48
7916,7912,24
7916,7908,59
7916,7914,74
7916,7910,49
7916,7906,66
7918,7953,82
7918,8460,101
7918,9066,73
7918,8904,56
7918,7938,80
7918,8124,66
7918,8047,64
7918,7955,46
7918,8495,40
7918,7929,76
7918,7975,98
7918,8018,67
7918,8703,43
7918,8056,50
7918,8848,47
7918,7990,59
7918,7998,47
7918,8136,66
7918,8738,36
7918,8119,79
7918,7949,102
7918,8073,48
7918,8031,69
7918,8780,44
7918,7964,82
7918,7951,49
7918,8174,67
7918,8280,50
7918,7944,29
7918,7940,77
7918,8000,81
7918,7970,56
7918,8008,50
7918,8287,77
7918,7934,95
7918,8109,32
7918,8245,65
7918,8011,90
7918,7988,64
7918,7931,70
7918,7924,43
7918,8219,66
7918,8428,49
7918,8020,82
7918,7985,102
7918,7922,55
7918,7978,99
7918,7946,71
7918,8184,68
7918,8091,68
7918,7967,74
7918,8167,79
7918,8016,59
7918,8198,77
7918,10112,45
7918,8114,56
7918,8093,63
7918,8121,68
7918,7973,84
7918,8647,60
7918,8413,40
7918,7994,63
7918,8086,57
7918,8140,60
7918,8188,73
7918,10937,3
7918,8272,76
7918,7920,52
7918,8163,50
7918,7936,44
7918,8023,80
7918,8149,93
7918,7942,94
7918,8474,64
7918,7980,44
7918,7957,82
7918,8300,85
7918,8243,129
7918,8111,41
7918,8045,33
7918,8305,76
7918,8186,72
7918,7983,66
7918,8084,97
7918,8211,77
7918,8321,50
7918,7992,101
7918,8028,86
7918,7926,66
7918,16996,1
7918,9647,48
7918,8131,62
7918,8002,48
7918,10167,41
7918,7959,78
7918,7962,52
7918,8005,67
7918,8033,74
7918,7908,63
7918,7912,42
7918,7910,51
7918,7916,78
7918,7914,70
7918,7906,65
7920,7942,62
7920,8016,160
7920,8280,28
7920,8000,65
7920,8084,200
7920,7953,190
7920,8780,25
7920,7988,168
7920,8703,43
7920,8018,135
7920,8124,195
7920,8647,181
7920,8149,61
7920,8114,49
7920,8272,134
7920,7936,110
7920,8219,47
7920,8023,37
7920,8474,39
7920,8008,162
7920,7949,202
7920,8848,24
7920,8056,41
7920,8033,142
7920,7985,46
7920,8300,61
7920,8140,167
7920,10112,74
7920,7964,155
7920,8186,86
7920,7973,58
7920,7934,54
7920,8305,56
7920,8045,140
7920,8086,101
7920,7959,78
7920,8121,38
7920,7998,159
7920,8211,45
7920,8413,104
7920,8031,95
7920,8136,34
7920,7938,75
7920,7992,103
7920,8005,163
7920,7924,162
7920,8028,173
7920,7990,34
7920,7980,111
7920,8047,88
7920,7929,130
7920,8904,143
7920,8174,115
7920,7951,120
7920,8243,179
7920,7967,87
7920,9066,64
7920,8167,186
7920,8188,149
7920,8184,68
7920,7970,28
7920,8428,132
7920,8460,61
7920,10167,22
7920,8109,16
7920,8131,183
7920,8073,118
7920,7978,175
7920,7983,182
7920,7994,133
7920,8020,45
7920,8738,21
7920,7944,107
7920,8011,57
7920,8245,35
7920,8119,50
7920,7955,132
7920,8111,23
7920,7940,35
7920,8002,38
7920,7931,69
7920,9647,102
7920,7926,68
7920,8091,162
7920,8321,44
7920,7957,61
7920,8093,89
7920,8163,142
7920,7922,147
7920,8287,47
7920,10937,5
7920,8495,159
7920,7962,37
7920,7975,49
7920,7946,49
7920,8198,57
7920,7916,52
7920,7908,172
7920,7910,48
7920,7906,34
7920,7914,42
7920,7918,52
7920,7912,96
7922,8272,157
7922,9066,44
7922,8280,30
7922,8738,23
7922,8703,31
7922,7934,46
7922,8321,33
7922,8005,178
7922,7970,33
7922,8474,48
7922,8002,40
7922,7975,49
7922,8121,40
7922,7962,29
7922,8186,87
7922,7978,215
7922,7929,129
7922,8131,237
7922,7994,157
7922,8167,205
7922,8780,23
7922,7967,104
7922,7926,74
7922,8109,13
7922,8149,60
7922,8219,43
